Year,Quarter,MType,資料日期,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值,現金及約當現金,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,待分配予業主之資產－淨額,貼現及放款－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,使用權資產－淨額,投資性不動產投資－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債－淨額,附買回票券及債券負債,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付金融債券,應付公司債,特別股負債,其他金融負債,負債準備,租賃負債,遞延所得稅負債,其他負債,負債總額,權益總額,權益－具證券性質之虛擬通貨,保留盈餘（或累積虧損）,歸屬於母公司業主權益合計,母公司暨子公司持有之母公司庫藏股股數（單位：股）
2025,4,sii,2026-03-02,1342,八貫,2237590.0,1343504.0,3581094.0,734050.0,450636.0,1184686.0,780009,,675743,949654.0,-8998,,,,,,2396408.0,,0,0.0,30.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,sii,2026-03-02,1413,宏洲,933881.0,1792268.0,2726149.0,733949.0,859890.0,1593839.0,1321124,,0,-180111.0,-8703,,,,,,1132310.0,,0,0.0,8.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,sii,2026-03-02,1436,華友聯,19855302.0,1817725.0,21673027.0,9075258.0,5658143.0,14733401.0,1941518,,1237193,3303206.0,18678,,6500595,,,439031,6939626.0,,0,0.0,33.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,sii,2026-03-02,1459,聯發,1866258.0,2811543.0,4677801.0,1068236.0,92693.0,1160929.0,3586289,,297733,325008.0,-166099,-528645,3514286,,,2586,3516872.0,,0,41144531.0,11.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,sii,2026-03-02,1515,力山,4071275.0,4201583.0,8272858.0,3678474.0,606400.0,4284874.0,1814735,,586,2268811.0,-122146,,3961986,,,25998,3987984.0,,0,0.0,21.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,sii,2026-03-02,1535,中宇,4818792.0,2446188.0,7264980.0,3195050.0,247805.0,3442855.0,1237426,,630995,2086398.0,-132694,,3822125,,,,3822125.0,,0,0.0,30.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,sii,2026-03-02,1563,巧新,10436980.0,7785636.0,18222616.0,4564483.0,4878952.0,9443435.0,2307821,,2416881,4555877.0,-5912,-540493,8734174,,,45007,8779181.0,,0,9044000.0,39.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,sii,2026-03-02,1582,信錦,9570569.0,3349397.0,12919966.0,4764142.0,532554.0,5296696.0,1442686,,3376992,2894353.0,-460011,,7254020,,,369250,7623270.0,,0,0.0,50.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,sii,2026-03-02,1597,直得,1860766.0,2232508.0,4093274.0,749056.0,935913.0,1684969.0,892619,,446121,1220834.0,-3699,-147570,2408305,,,,2408305.0,0,0,2000000.0,27.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,sii,2026-03-02,1605,華新,84873079.0,218543967.0,303417046.0,53099355.0,74220423.0,127319778.0,44313329,,37354983,60375913.0,23809009,,165853234,,,10244034,176097268.0,,0,0.0,37.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,sii,2026-03-02,1712,興農,7899784.0,7470880.0,15370664.0,5027494.0,1714722.0,6742216.0,4204926,,465767,4048173.0,-152051,,8566815,,,61633,8628448.0,,0,0.0,20.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,sii,2026-03-02,1720,生達,5461464.0,6334439.0,11795903.0,2156966.0,352128.0,2509094.0,1786961,,301112,4142763.0,-106191,,6124645,,,3162164,9286809.0,0,0,0.0,34.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,sii,2026-03-02,1723,中碳,3617713.0,7825246.0,11442959.0,1979836.0,1644844.0,3624680.0,2369044,,989006,4885235.0,-307368,-117638,7818279,,,,7818279.0,,0,4753537.0,33.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,sii,2026-03-02,1730,花仙子,1817433.0,957956.0,2775389.0,541492.0,43479.0,584971.0,632339,,234657,1194732.0,-7989,,2053739,,,136679,2190418.0,,0,0.0,32.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,sii,2026-03-02,1731,美吾華,1209501.0,2027939.0,3237440.0,433201.0,641308.0,1074509.0,1329152,,192289,687681.0,-46191,,2162931,,,,2162931.0,,0,0.0,16.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,sii,2026-03-02,1752,南光,1492605.0,2330766.0,3823371.0,1064790.0,268909.0,1333699.0,1009885,,245012,1229276.0,-35,,2484138,,,5534,2489672.0,0,0,0.0,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,sii,2026-03-02,2002,中鋼,177774877.0,496072096.0,673846973.0,128948463.0,214979505.0,343927968.0,157731290,,41189617,108837625.0,-2006778,-13118233,292633521,,,37285484,329919005.0,,0,674286000.0,19.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,sii,2026-03-02,2006,東和鋼鐵,28467305.0,23529904.0,51997209.0,15662886.0,1871977.0,17534863.0,7302138,,7745045,19702932.0,-404143,,34345972,,,116374,34462346.0,,0,0.0,47.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,sii,2026-03-02,2013,中鋼構,10548110.0,4411655.0,14959765.0,8601098.0,681890.0,9282988.0,2000000,,1383331,2457171.0,-163725,,5676777,,,,5676777.0,,0,0.0,28.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,sii,2026-03-02,2014,中鴻,8290243.0,18595909.0,26886152.0,5650496.0,9124303.0,14774799.0,14355444,,903,-951605.0,-1293389,,12111353,,,,12111353.0,,0,0.0,8.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,sii,2026-03-02,2015,豐興,11548041.0,14292570.0,25840611.0,2536259.0,691533.0,3227792.0,5815994,,455825,16538652.0,-210712,,22599759,,,13060,22612819.0,,0,0.0,38.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,4,sii,2026-03-02,2024,志聯,720313.0,933875.0,1654188.0,335318.0,204118.0,539436.0,975000,,10708,129044.0,0,,,0,0,,1114752.0,,0,0.0,11.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
